Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
837,441,441,"63,156","56,578",0.72,317,"70,317","65,551",0.18,78,-523,-598,441,"65,625","58,285",441,"2,269",636,0.12,54,"89,984","35,544",0.12,53,"70,016","18,015",0.78,344,"16,208","11,470",519,"148,642","77,864"
838,559,559,"70,325","63,864",0.86,478,"74,027","68,886",0.18,101,"-1,155",-708,559,"73,245","67,541",559,"2,644",997,0.1,57,"84,416","34,367",0.1,57,"57,271","23,663",0.82,460,"18,259","14,559",624,"150,111","75,435"
839,618,618,"71,945","63,410",0.89,550,"73,179","65,592",0.18,114,-87,"-1,274",618,"74,442","66,064",618,"2,402","1,124",0.09,54,"108,720","31,374",0.09,53,"77,464","15,880",0.86,534,"17,503","13,015",629,"127,003","62,010"
840,184,184,"52,871","38,413",0.67,123,"63,526","59,423",0.17,31,-500,"-1,911",184,"55,444","40,811",184,"2,104",434,0.15,27,"112,179","38,019",0.14,26,"103,875","39,694",0.64,117,"15,404","10,693",229,"163,687","93,272"
841,353,353,"66,223","60,163",0.86,303,"67,395","64,094",0.16,57,-193,-36,353,"68,048","61,753",353,"1,803",648,0.12,41,"69,735","33,650",0.11,39,"48,885","14,739",0.8,281,"16,724","13,138",448,"122,718","64,255"
845,327,327,"61,657","47,041",0.81,264,"58,441","53,042",0.12,38,"1,865",466,327,"63,393","47,729",327,"1,468",500,0.09,31,"52,934","32,127",0.09,29,"47,348","27,866",0.74,241,"16,410","9,418",380,"107,307","52,900"
846,210,210,"57,363","46,208",0.75,157,"58,235","49,269",0.17,36,453,896,210,"60,705","47,602",210,"3,321",482,0.1,20,"39,860","26,148",0.09,18,"41,512","16,236",0.72,152,"17,955","8,407",245,"104,605","50,318"
847,152,152,"58,592","43,744",0.82,124,"53,773","47,756",0.09,13,"8,960","6,577",152,"60,176","44,343",152,"1,102",300,0.05,7,"18,453","6,471",0.03,5,"9,241","3,465",0.69,105,"16,851","9,547",211,"68,885","13,562"
850,"4,332","4,332","65,996","59,200",0.89,"3,868","65,206","61,048",0.13,565,885,595,"4,332","68,324","61,211","4,332","2,214",707,0.07,299,"115,248","37,851",0.07,289,"83,414","19,474",0.85,"3,682","15,647","11,791","5,351","103,197","33,374"
852,"2,026","2,026","45,509","37,236",0.86,"1,751","42,198","33,750",0.06,129,747,396,"2,026","49,392","38,337","2,026","1,513",40,0.03,68,"120,645","30,834",0.03,66,"102,024","24,368",0.68,"1,370","9,845","5,580","2,984","40,045","4,385"
